id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
10,1992,0,0,-.4170655,1,-.073276,1,3,-.6065549,-.1440395
11,1979,0,0,0,0,0,0,3,,
11,1980,0,0,0,0,0,0,3,,
11,1981,0,0,0,0,0,0,3,,
11,1982,0,0,0,0,0,0,3,,
11,1983,0,0,0,0,0,0,3,-.3521259,-.7698513
11,1984,0,0,.0979506,1,.8046833,1,3,-.2541753,.034832
11,1985,0,0,.0828996,1,-.1449577,1,3,-.1712757,-.1101257
11,1986,0,0,.2196855,1,-.0138685,1,3,.0484098,-.1239942
11,1987,0,1,-.0208227,1,0,0,3,.0275872,
11,1988,0,1,-.0415354,1,0,0,3,-.0139482,
11,1989,0,1,.0682959,1,0,0,3,.0543477,-.1810307
11,1990,0,0,-.0719718,1,.3606592,1,3,-.0176241,.1796284
11,1991,0,0,-.0220674,1,-.3754716,1,3,-.0396915,-.1958431
11,1992,0,0,-.1696033,1,-.0091731,1,3,-.2092948,-.2050162
12,1979,0,0,.0977715,1,-.272438,1,3,.3462075,.0733457
12,1980,0,0,.0612963,1,.5231408,1,3,.4075038,.5964864
12,1981,0,0,-.0584295,1,-.1483388,1,3,.3490743,.4481477
12,1982,0,0,.2071037,1,-.2633358,1,3,.556178,.1848118
12,1983,0,0,.2574836,1,.4776266,1,3,.8136616,.6624385
12,1984,0,0,-1.095953,1,.1310529,1,3,-.2822916,.7934914
12,1985,0,0,.2593398,1,-.0872561,1,3,-.0229518,.7062352
12,1986,0,0,-.0814899,1,-.1778919,1,3,-.1044417,.5283433
12,1987,0,1,-.0567386,1,0,0,3,-.1611803,
12,1988,0,1,.4280471,1,0,0,3,.2668668,
12,1989,0,1,.0027069,1,0,0,3,.2695737,.7895016
12,1990,0,0,-.2567715,1,-.4502058,1,3,.0128021,.3392958
12,1991,0,0,.4777408,1,.2296073,1,3,.4905429,.5689031
12,1992,0,0,-.6780885,1,-.1001221,1,3,-.1875456,.4687811
13,1979,0,0,-.1421455,1,-.1431256,1,3,.0115282,-.1802694
13,1980,0,0,-.5995482,1,.6532148,1,3,-.58802,.4729453
13,1981,0,0,.6353873,1,-.3936187,1,3,.0473673,.0793266
13,1982,0,0,.0778412,1,.4700323,1,3,.1252085,.5493589
13,1983,0,0,.2698154,1,-.2095721,1,3,.395024,.3397868
13,1984,0,0,-.2291523,1,-.5417284,1,3,.1658717,-.2019416
13,1985,0,0,.05333,1,.8185178,1,3,.2192017,.6165763
13,1986,0,0,-.0159741,1,-.3095258,1,3,.2032277,.3070504
13,1987,0,1,-.140275,1,0,0,3,.0629527,
13,1988,0,1,-.0668651,1,0,0,3,-.0039125,
13,1989,0,1,.3343343,1,0,0,3,.3304218,.427301
13,1990,0,0,.1305356,1,.1439152,1,3,.4609574,.5712162
13,1991,0,0,-.1876588,1,-.3563939,1,3,.2732987,.2148222
13,1992,0,0,.0537893,1,.3503326,1,3,.327088,.5651549
14,1979,0,0,0,0,0,0,3,,
14,1980,0,0,0,0,0,0,3,,
14,1981,0,0,0,0,0,0,3,,
14,1982,0,0,0,0,0,0,3,,
14,1983,0,0,0,0,0,0,3,,
14,1984,0,0,0,0,0,0,3,,
14,1985,0,0,0,0,0,0,3,,
14,1986,0,0,0,0,0,0,3,,
14,1987,0,1,0,0,0,0,3,,
14,1988,0,1,0,0,0,0,3,,
14,1989,0,1,0,0,0,0,3,,
14,1990,0,0,0,0,0,0,3,,
14,1991,0,0,0,0,0,0,3,,
14,1992,0,0,0,0,0,0,3,,
15,1979,0,0,0,0,0,0,3,,
15,1980,0,0,0,0,0,0,3,,
15,1981,0,0,0,0,0,0,3,,
15,1982,0,0,0,0,0,0,3,,
15,1983,0,0,0,0,0,0,3,,
15,1984,0,0,0,0,0,0,3,,
15,1985,0,0,0,0,0,0,3,,
15,1986,0,0,0,0,0,0,3,,
15,1987,0,1,0,0,0,0,3,.4019805,
15,1988,0,1,-.2166356,1,0,0,3,.1853449,
15,1989,0,1,.9629201,1,0,0,3,1.148265,.6181704
15,1990,0,0,-.9882375,1,-.0868835,1,3,.1600275,.531287
15,1991,0,0,.5435983,1,-.62055,1,3,.7036258,-.089263
15,1992,0,0,-.4827282,1,.2064656,1,3,.2208976,.1172026
16,1979,0,0,0,0,0,0,3,,
16,1980,0,0,0,0,0,0,3,,
16,1981,0,0,0,0,0,0,3,,
16,1982,0,0,0,0,0,0,3,,
16,1983,0,0,0,0,0,0,3,,
16,1984,0,0,0,0,0,0,3,,
16,1985,0,0,0,0,0,0,3,,
16,1986,0,0,0,0,0,0,3,,
16,1987,0,1,0,0,0,0,3,,
16,1988,0,1,0,0,0,0,3,.0406796,
16,1989,0,1,.0540571,1,0,0,3,.0947367,-.1348897
16,1990,0,0,.0371089,1,-.0179686,1,3,.1318456,-.1528584
16,1991,0,0,-.1347362,1,.2217808,1,3,-.0028906,.0689225
16,1992,0,0,.0617122,1,.189115,1,3,.0588216,.2580374
17,1979,0,0,0,0,0,0,3,,
17,1980,0,0,0,0,0,0,3,,
17,1981,0,0,0,0,0,0,3,,
17,1982,0,0,0,0,0,0,3,,
17,1983,0,0,0,0,0,0,3,,
17,1984,0,0,0,0,0,0,3,,
17,1985,0,0,0,0,0,0,3,,
17,1986,0,0,0,0,0,0,3,,
17,1987,0,1,0,0,0,0,3,,
17,1988,0,1,0,0,0,0,3,,
17,1989,0,1,0,0,0,0,3,.1844632,.5166097
17,1990,0,0,-.2616681,1,-.3834634,1,3,-.0772049,.1331462
17,1991,0,0,-.0492636,1,-.1600466,1,3,-.1264685,-.0269004
17,1992,0,0,-.1772726,1,.2554826,1,3,-.3037412,.2285822
18,1979,0,0,.2835126,1,-.1476235,1,3,.6187455,.0172063
18,1980,0,0,-.4452791,1,-.0116516,1,3,.1734664,.0055547
18,1981,0,0,-.0451728,1,.4477937,1,3,.1282936,.4533484
18,1982,0,0,.126603,1,-.1528882,1,3,.2548966,.3004602
18,1983,0,0,0,0,0,0,3,,
18,1984,0,0,0,0,0,0,3,,
18,1985,0,0,0,0,0,0,3,,
18,1986,0,0,0,0,0,0,3,,
18,1987,0,1,0,0,0,0,3,,
18,1988,0,1,0,0,0,0,3,,
18,1989,0,1,0,0,0,0,3,,
18,1990,0,0,0,0,0,0,3,,
18,1991,0,0,0,0,0,0,3,,
18,1992,0,0,0,0,0,0,3,,
19,1979,0,0,0,0,0,0,3,,
19,1980,0,0,0,0,0,0,3,,
19,1981,0,0,0,0,0,0,3,,
19,1982,0,0,0,0,0,0,3,,
19,1983,0,0,0,0,0,0,3,,
19,1984,0,0,0,0,0,0,3,,
19,1985,0,0,0,0,0,0,3,,
19,1986,0,0,0,0,0,0,3,,
19,1987,0,1,0,0,0,0,3,.2973659,
19,1988,0,1,-.2800629,1,0,0,3,.0173031,
19,1989,0,1,.1704501,1,0,0,3,.1877532,.3144864
19,1990,0,0,-.1553937,1,-.5159848,1,3,.0323595,-.2014984
19,1991,0,0,.3116094,1,-.2214192,1,3,.3439689,-.4229175
19,1992,0,0,-.2126339,1,.1634067,1,3,.131335,-.2595108
20,1979,0,0,0,0,0,0,3,,
20,1980,0,0,0,0,0,0,3,,
20,1981,0,0,0,0,0,0,3,,
20,1982,0,0,0,0,0,0,3,,
20,1983,0,0,0,0,0,0,3,.4476515,-.1811719
